Word,Definition,Example,Synonym,Antonym
reproach,Express to (someone) one's disapproval of or disappointment in their actions.,‘Albert reproached him for being late’,", reprove, scold, chide, reprimand, admonish, chastise, upbraid, remonstrate with, berate, take to task, pull up, castigate, lambaste, read someone the Riot Act, give someone a piece of one's mind, haul over the coals, lecture, criticize, find fault with, censure, express disapproval of","praise, commend"
reprobate,An unprincipled person.,‘even a hardened reprobate like myself has some standards to adhere to’,", rascal, scoundrel, good-for-nothing, villain, wretch, unprincipled person, rake, profligate, degenerate, debauchee, libertine","upright, virtuous, principled"
repudiate,Refuse to accept; reject.,‘a world that repudiated aggression and violence as a way of resolving disputes’,", renounce, abandon, forswear, give up, turn one's back on, have nothing more to do with, wash one's hands of, have no more truck with, abjure, disavow, recant, desert, discard, disown, cast off, lay aside, cut off, rebuff",embrace
rescind,"Revoke, cancel, or repeal (a law, order, or agreement)",‘the court has the power to rescind a bankruptcy order’,", repeal, cancel, reverse, abrogate, overturn, overrule, override, annul, nullify, declare null and void, make void, void, invalidate, render invalid, quash, abolish, set aside, countermand, retract, withdraw","enforce, enact"
resolution,A firm decision to do or not to do something.,"‘despite her resolution to remain calm, Shannon could feel her temper rising’",", resolve, decision, intent, aim, aspiration, design, purpose, object, plan","irresolution, half-heartedness"
resolve,Settle or find a solution to (a problem or contentious matter),‘the government seems to think that the matter can be resolved overnight’,", sort out, solve, find a solution to, find an answer to, fix, work out, straighten out, deal with, put right, set right, put to rights, rectify, iron out, reconcile",combine
reticent,Not revealing one's thoughts or feelings readily.,‘Smith was extremely reticent about his personal affairs’,", withdrawn, introverted, restrained, inhibited, diffident, shy, modest, unassuming, shrinking, distant, undemonstrative, wouldn't say boo to a goose","expansive, garrulous"
reverent,Feeling or showing deep and solemn respect.,‘there was a reverent silence’,", reverential, worshipping, worshipful, adoring, loving, admiring, devoted, devout, dutiful, awed","irreverent, cheeky"
sage,"An aromatic plant whose greyish-green leaves are used as a culinary herb, native to southern Europe and the Mediterranean.",‘the Chinese sage Confucius’,", wise woman, learned man, learned woman, man of letters, woman of letters, philosopher, scholar, thinker, savant, Solomon, Nestor, Solon",fool
salubrious,Health-giving; healthy.,‘I anticipate that I shall find the climate eminently salubrious’,", health-giving, healthful, beneficial, good for one's health, wholesome, salutary",unhealthy
sanction,A threatened penalty for disobeying a law or rule.,‘codes of practice should be accompanied by sanctions for offenders’,", punishment, deterrent",reward
satiate,Satisfied to the full; sated.,"‘he leaned back against the cushions, satiated by the Christmas fare’",", fully satisfy, sate","starve, deprive, dissatisfy"
saturate,Cause (something) to become thoroughly soaked with water or other liquid so that no more can be absorbed.,‘heavy autumn rain saturated the ground’,", drench, waterlog, wet through, wet",dry out
savor,,‘I savoured each delicious mouthful’,", enjoy, enjoy to the full, taste to the full, appreciate, delight in, take pleasure in, revel in, smack one's lips over, luxuriate in, bask in, drool over",
secrete,"(of a cell, gland, or organ) produce and discharge (a substance)",‘the gland can become enlarged and secrete excess levels of the hormone’,", discharge, emit, excrete, exude, ooze, leak, leach, emanate, give off, release, send out",absorb
shard,"A piece of broken ceramic, metal, glass, or rock, typically having sharp edges.",‘shards of glass flew in all directions’,", fragment, bit, sliver, splinter, shiver, chip, particle, scrap",
skeptic,,‘sceptics said the marriage wouldn't last’,", doubter, questioner, scoffer",believer
solicitous,Characterized by or showing interest or concern.,‘she was always solicitous about the welfare of her students’,", caring, attentive, mindful, interested, considerate, thoughtful",
soporific,Tending to induce drowsiness or sleep.,‘soporific drugs’,", somnolent, sedative, calmative, tranquillizing, narcotic, opiate, drowsy, sleepy, somniferous",invigorating
specious,"Superficially plausible, but actually wrong.",‘a specious argument’,", seemingly correct, misleading, deceptive, false, fallacious, unsound, casuistic, sophistic",
spectrum,"A band of colours, as seen in a rainbow, produced by separation of the components of light by their different degrees of refraction according to wavelength.",‘a broad spectrum of opinion’,", gamut, sweep, scope, span",
sporadic,Occurring at irregular intervals or only in a few places; scattered or isolated.,‘we braved the sporadic showers’,", infrequent, irregular, periodical, periodic, scattered, patchy, isolated, odd, uneven","frequent, regular, steady, continuous"
stigma,"A mark of disgrace associated with a particular circumstance, quality, or person.",‘the stigma of bankruptcy’,", disgrace, dishonour","honour, credit"
stint,Supply a very ungenerous or inadequate amount of (something),‘he doesn't stint on wining and dining’,", scrimp on, be economical with, economize on, be sparing with, hold back on, be frugal with",
stipulate,"Demand or specify (a requirement), typically as part of an agreement.",‘he stipulated certain conditions before their marriage’,", set down, set out, lay down, set forth, state clearly",
stolid,"Calm, dependable, and showing little emotion or animation.","‘a stolid, slow-speaking man’",", phlegmatic, unemotional, calm, placid, unexcitable","emotional, lively, imaginative"
striate,Marked with striae.,,,
strut,A rod or bar forming part of a framework and designed to resist compression.,‘he strutted around his vast office’,", swank, parade, prance, flounce, stride, sweep",
subpoena,A writ ordering a person to attend a court.,,,
subside,"Become less intense, violent, or severe.",‘I'll wait a few minutes until the storm subsides’,", let up, moderate, quieten down, calm, lull, slacken, slacken off, ease, ease up, relent, die down, die out, peter out, taper off, recede, lessen, soften, alleviate, attenuate, remit, diminish, decline, dwindle, weaken, fade, wane, ebb, still, cease, come to a stop, come to an end, terminate","intensify, worsen"
substantiate,Provide evidence to support or prove the truth of.,‘none of the allegations were ever substantiated’,", give proof of, show to be true, give substance to, support, uphold, back up, bear out, justify, vindicate, validate, corroborate, verify, authenticate, confirm, endorse, give credence to, lend weight to, establish, demonstrate","disprove, refute"
supersede,Take the place of (a person or thing previously in authority or use); supplant.,‘I found myself superseded by much younger men’,", supplant, take the place of, take over from, substitute for, displace, oust, overthrow, remove, unseat, override",
supposition,A belief held without proof or certain knowledge; an assumption or hypothesis.,‘there is a widespread supposition that there is nothing of any value in these techniques’,", surmise, idea, notion, suspicion, conjecture, speculation, view, inference, theory, thesis, hypothesis, postulation, guess, guesswork, feeling, hunch, assumption, presumption",
tacit,Understood or implied without being stated.,‘the bargaining relies on informal agreements and tacit understandings’,", understood, implied, inferred, hinted, suggested, insinuated","explicit, stated"
tangential,Relating to or along a tangent.,,,
tenuous,Very weak or slight.,‘evidence that greenhouse warming had started was at best tenuous’,", insubstantial, flimsy, negligible, weak, fragile, shaky, sketchy, doubtful, dubious, questionable, suspect","convincing, substantial, strong"
tirade,"A long, angry speech of criticism or accusation.",‘she rounded on Nathan with a devastating tirade’,", invective, polemic, denunciation, rant, broadside, attack, harangue, verbal onslaught",
torpor,A state of physical or mental inactivity; lethargy.,‘he spent most of the journey in a state of torpor’,", torpidity, sluggishness, inertia, inertness, inactivity, inaction, slowness, lifelessness, dullness, heaviness, listlessness, languor, languidness, stagnation, laziness, idleness, indolence, shiftlessness, sloth, slothfulness, apathy, accidie, passivity, weariness, tiredness, lassitude, fatigue, sleepiness, drowsiness, enervation, somnolence, narcosis","vigour, energy, animation"
tortuous,Full of twists and turns.,‘the road follows a tortuous route’,", winding, curving, curvy, bending, sinuous, undulating, coiling, looping, meandering, serpentine, snaking, snaky, zigzag, convoluted, spiralling, twisty, circuitous, rambling, wandering, indirect, deviating, devious, labyrinthine, mazy",straight
tractable,(of a person) easy to control or influence.,‘children are no longer as tractable as they used to be’,", manageable, malleable, governable, yielding, amenable, complaisant, compliant","obstinate, defiant, recalcitrant"
transgression,"An act that goes against a law, rule, or code of conduct; an offence.",‘they were granted full amnesty for their transgressions’,", crime, sin, wrong, wrongdoing, misdemeanour, felony, misdeed, lawbreaking, vice, evil-doing, indiscretion, peccadillo, mischief, mischievousness, wickedness, misbehaviour, bad behaviour",obedience
truculence,,,,
unwarranted,Not justified or authorized.,‘they feel the criticism is unwarranted’,", unjustifiable, indefensible, inexcusable, unforgivable, unpardonable, uncalled for, gratuitous, unnecessary, undue, unreasonable, unjust, groundless, inappropriate, unsuitable, unseemly, unbecoming, improper, ill-advised, excessive, immoderate, disproportionate, inordinate",justified
vacillate,Waver between different opinions or actions; be indecisive.,‘I had for a time vacillated between teaching and journalism’,", be indecisive, be irresolute, be undecided, be uncertain, be unsure, be doubtful, waver, teeter, temporize, hesitate, oscillate, fluctuate, keep changing one's mind",
venerate,Regard with great respect; revere.,‘the Hindus venerate oxen’,", reverence, respect, worship, adulate, hallow, deify, idolize, hold sacred, exalt, honour, esteem, look up to, think highly of, pay homage to, pay tribute to",despise
veracious,Speaking or representing the truth.,‘the manuscripts contain veracious accounts of the event’,", accurate, veritable, correct, errorless, unerring, exact, precise, factual, literal, realistic, authentic, faithful, close, strict, just, unelaborated, unvarnished","untrue, dishonest"
verbose,Using or expressed in more words than are needed.,‘verbose articles from amateur authors’,", loquacious, garrulous, talkative, voluble, orotund, expansive, babbling, blathering, prattling, prating, jabbering, gushing, effusive","succinct, laconic"
viable,Capable of working successfully; feasible.,‘the committee came forward with the only viable solution’,", feasible, practicable, practical, applicable, usable, manageable, operable, operational, possible, within the bounds of possibility, within the realms of possibility, within reach, within reason, likely, achievable, attainable, accomplishable, realizable, reasonable, sensible, realistic, logical, useful, of use, serviceable, suitable, expedient, effective, valid, tenable",impracticable
viscous,"Having a thick, sticky consistency between solid and liquid; having a high viscosity.",‘pools of viscous liquid had started to spread across the floor’,", gummy, glue-like, gluey, adhesive, tacky, adhering, adherent, sticking, clinging, treacly, syrupy",watery
vituperative,Bitter and abusive.,,,
volatile,(of a substance) easily evaporated at normal temperatures.,‘her sister was headstrong and volatile’,", changeable, variable, inconstant, inconsistent, uncertain, erratic, irregular, unstable, turbulent, unsteady, unsettled, unreliable, undependable, changing, ever-changing, varying, shifting, fluctuating, fluid, mutable, protean, fitful, wavering, full of ups and downs","stable, constant"
wary,Feeling or showing caution about possible dangers or problems.,"‘as a soldier, he was trained to be wary’",", careful, circumspect, on one's guard, chary, alert, on the alert, on the lookout, on the qui vive, prudent","unwary, inattentive"
welter,Move in a turbulent fashion.,‘a welter of confused sounds’,", jumble, tangle, clutter, mess, hotchpotch, mishmash, flurry, rush, mass",
whimsical,"Playfully quaint or fanciful, especially in an appealing and amusing way.",‘a whimsical sense of humour’,", playful, mischievous, waggish, quaint, fantastic, unusual, curious, droll",
zealot,"A person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals.",‘reforming zealots destroyed a vast collection of papers’,", enthusiast, extremist, radical, Young Turk, diehard, activist, militant",moderate
